"GO.ID","Term","Annotated","Significant","Expected","FoldEnrichment","p_classic","fdr_classic_BH","p_weight01"
"GO:0019752","carboxylic acid metabolic process",283,19,4.21,4.51,4.08594142234888e-09,6.48065263664356e-06,1
"GO:0043436","oxoacid metabolic process",292,19,4.35,4.37,6.9673566546131e-09,6.48065263664356e-06,1
"GO:0006082","organic acid metabolic process",293,19,4.36,4.36,7.38395666917231e-09,6.48065263664356e-06,1
"GO:0044281","small molecule metabolic process",542,24,8.07,2.98,6.63505444599057e-08,4.36752458907329e-05,1
"GO:0016999","antibiotic metabolic process",43,8,0.64,12.5,1.23801167913889e-07,6.51936950234541e-05,0.000550457469941276
"GO:0032787","monocarboxylic acid metabolic process",105,11,1.56,7.04,1.97939272145849e-07,8.68623505933365e-05,1
"GO:0015976","carbon utilization",11,5,0.16,30.55,2.51425101752132e-07,9.45717561304804e-05,2.51425101752132e-07
"GO:0006083","acetate metabolic process",6,4,0.09,44.8,6.28817558930104e-07,0.00020695957908287,6.28817558930104e-07
"GO:0006091","generation of precursor metabolites and energy",133,11,1.98,5.56,2.22427709987957e-06,0.000650724622664768,1
"GO:0044282","small molecule catabolic process",92,9,1.37,6.57,5.41579992592121e-06,0.00116786246630369,1
"GO:0016053","organic acid biosynthetic process",149,11,2.22,4.96,6.85118071289803e-06,0.00116786246630369,1
