"gene_id","baseMean_clay","baseMean_sandy","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"g1009",1.93760821777332,0.465036277887172,1.20132224783025,1.81477335015297,1.12036415751687,1.61980668336906,0.10527381017262,0.171887746553035
"g1010",1.99731865806537,1.46115324753204,1.7292359527987,0.625336862898552,0.902454723309151,0.692928793818648,0.488354238765974,0.547032461253359
"g1033",2.39034848243957,0.383495155593734,1.38692181901665,2.16959438089875,1.00795122343936,2.15247953516601,0.0313596054051244,0.0802028846201854
"g1034",2.57716346909865,0.215754580147909,1.39645902462328,2.68444671744486,1.00838703939555,2.66211941701867,0.0077650324832636,0.0373281584848252
"g1104",4.98667083137097,1.16030100615073,3.07348591876085,2.00528857436678,0.779415713279704,2.5728100424467,0.0100876557584643,0.039992150063192
"g1150",3.03884641672482,1.51488060699468,2.27686351185975,1.07889938344098,0.797561314260492,1.35274788803083,0.176136186009597,0.245909940853978
"g1183",9.8282920302813,2.34123209549087,6.08476206288608,1.98470350295479,0.578112394786134,3.43307550721,0.000596775877015946,0.00907727518197938
"g122",2.30517372692198,0.169050666769387,1.23711219684568,2.52037381149153,1.07957749491522,2.33459276741356,0.0195647047473018,0.0548951424463129
"g1233",2.22620739675364,0.236912370439172,1.2315598835964,2.22909566866588,1.0411211646668,2.14105307270291,0.0322697583983413,0.0810148338976819
"g1236",8.14891137301179,11.0374252909484,9.5931683319801,-0.36886034455031,0.431541464814591,-0.854750643043743,0.392689207720769,0.456627940335577
"g1247",1.50273412632291,1.5818355763312,1.54228485132706,-0.428178535005939,0.904985857782943,-0.473132846578289,0.636118403990844,0.678369810897985
"g1290",6.06352277979259,1.0735199104669,3.56852134512974,2.57444902314026,0.827758913152256,3.11014352395951,0.00186996457750944,0.0178374050350447
"g1303",2.22175252832825,0.4299384975266,1.32584551292743,2.03414360254397,1.08733446070171,1.87076164332293,0.0613781263175737,0.124043905634817
"g1306",1.99305647615189,0.662735490038445,1.32789598309517,1.40999668860996,0.970642964316976,1.45264195017594,0.146323192211245,0.21143701274525
"g1332",2.15799464236867,0.635028491169381,1.39651156676903,1.52518067957482,0.968383546080414,1.5749758303392,0.115262023573466,0.181758916968316
"g1333",1.85758112559157,0.530217980194038,1.19389955289281,1.81269728087603,1.02718798803617,1.76471814506089,0.0776111474766742,0.143176089879479
"g14",2.1830683599738,1.32720902932214,1.75513869464797,0.815772343217332,0.871431155675835,0.936129421015092,0.349206556652233,0.421345938929527
"g1439",2.04734700372805,0.54379593391399,1.29557146882102,1.85360484859942,1.02353288589377,1.81098709591614,0.0701428491833847,0.134246910026478
"g1440",2.60531181760239,0.898601086747173,1.75195645217478,1.77944911394869,0.915989658231402,1.94265196987536,0.0520582231167712,0.110645866972933
"g1448",5.4737022996031,1.44187581092218,3.45778905526264,1.87240125950215,0.721404637796342,2.5954937928064,0.00944551090326472,0.039992150063192
"g1450",2.30126920756923,0.537982271104622,1.41962573933692,1.97039994882221,1.01540531690474,1.94050584138025,0.0523182449635272,0.110645866972933
"g1460",2.07920546690777,0.604480035457554,1.34184275118266,1.3341723058961,1.00696679151462,1.32494171321114,0.185190484250626,0.252453065794486
"g1478",2.61116560623874,0.473689416898416,1.54242751156858,2.09788182066991,0.999720464459521,2.09846841717308,0.0358637870119674,0.0863719537204882
"g155",1.48948791369914,2.7371745244388,2.11333121906897,-0.87124279720279,0.758119461592368,-1.14921571248523,0.250467043447505,0.320287502461632
"g1569",3.64492075560107,0.515435022372356,2.08017788898672,2.62555052180429,1.00284020064195,2.61811455117535,0.00884171182908841,0.038138130128456
"g1582",3.46320229304233,0.430431058777713,1.94681667591002,2.54734231797193,0.949389500344985,2.68313723402912,0.00729350546031998,0.0357258148819063
"g1627",2.46421528010189,0.285695734364484,1.37495550723318,2.69044475971668,1.02469378074414,2.62560855767356,0.00864942229349396,0.038138130128456
"g1642",1.88804331568219,0.732562588262487,1.31030295197234,1.32077423884674,1.1436092248922,1.15491744041435,0.24812423672017,0.31870179738724
"g1663",7.42581996582997,0.883109089166687,4.15446452749833,2.89105441723311,0.867850560425107,3.33128138537695,0.000864471709670645,0.0110826450534062
"g167",4.45481216124826,1.61856372184884,3.03668794154855,1.61004087115804,0.781525472088796,2.06012590588361,0.0393865058841572,0.0925422780530199
"g1670",9.00901425196053,0.81047305289357,4.90974365242705,3.57285306529348,0.860101902424797,4.15398809748113,3.26730177646915e-05,0.000944250213399586
"g1686",1.82763410507264,0.934947880922603,1.38129099299762,1.213718357209,1.03211631347764,1.17595114170754,0.239614400624362,0.309145365091252
"g1688",3.45173686015283,0.256497582773701,1.85411722146326,3.06745747899567,1.02435091301242,2.99453775071558,0.00274861040498633,0.0220652335289181
"g1713",4.54639975669597,1.81906835164061,3.18273405416829,1.08213362358658,0.675509252593068,1.60195233363955,0.109166150474603,0.175272319373112
"g1778",2.74300719397637,0.234430064805034,1.4887186293907,2.77768438220799,1.02141879438124,2.71943731355626,0.00653930886537738,0.0341734484850602
"g1788",7.44938585209215,2.73176759506319,5.09057672357767,1.26885817398346,0.61105625682275,2.07649976547334,0.0378477527941396,0.0900335252994887
"g1810",3.62439554020206,0.543646027026791,2.08402078361443,2.65058100437312,1.03042258923909,2.57232424061126,0.0101018233723634,0.039992150063192
"g1874",1.90548963307031,1.06984814373645,1.48766888840338,0.924734637901144,0.908724730639869,1.01761799445031,0.308859532423236,0.381454721668014
"g1892",2.23666250759536,0.675759504641322,1.45621100611834,1.5070230645922,0.984373838688485,1.53094587174326,0.125782770842908,0.191322214597896
