"gene_id","baseMean_clay","baseMean_sandy","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"g5863",9.81352479766127,1.12724782366655,5.47038631066391,3.69960218046837,0.873687872805045,4.23446667353925,2.29094754978972e-05,0.000741879544294372
"g1670",9.00901425196053,0.81047305289357,4.90974365242705,3.57285306529348,0.860101902424797,4.15398809748113,3.26730177646915e-05,0.000944250213399586
"g5238",4.41678533038076,0.285967883917931,2.35137660714935,3.5173913550125,0.974456352391088,3.60959354042041,0.000306677171272083,0.005539356406102
"g3832",4.3620868164176,0.252534546792399,2.307310681605,3.43516808482939,0.971553359557461,3.53574824381658,0.000406622002246437,0.00691257403818942
"g3089",3.7990301672072,0.217104532819115,2.00806735001316,3.28245524632924,0.963766415476403,3.40586182877795,0.000659555502787868,0.0095305770152847
"g2923",3.84491877281075,0.258004815942663,2.0514617943767,3.27464719716762,0.977902377054412,3.34864427575209,0.000812079871357012,0.0110826450534062
"g3352",3.63319426228416,0.168679961846532,1.90093711206535,3.17476932274539,1.02920216065395,3.08468971803184,0.00203764607358271,0.0184024911020439
"g5936",3.56262314447258,0.237337629130289,1.89998038680144,3.13251537364035,1.00767160016402,3.10866692395663,0.00187933451514108,0.0178374050350447
"g1688",3.45173686015283,0.256497582773701,1.85411722146326,3.06745747899567,1.02435091301242,2.99453775071558,0.00274861040498633,0.0220652335289181
"g2901",3.35978709264298,0.168572528565159,1.76417981060407,3.02657478491861,1.06778256366171,2.83444859273568,0.0045904842940433,0.0284646382932953
"g2117",3.31195146104253,0.286066869054102,1.79900916504832,3.00592423558903,1.02302150616451,2.93828059085363,0.00330038173548657,0.0238452580388904
"g2625",15.4881237481883,1.81719885729345,8.65266130274088,2.94181791001659,0.609362224700657,4.82769983233164,1.38119066645486e-06,9.97910256513636e-05
"g4566",11.2617856954926,1.59671812160285,6.42925190854773,2.92896287049264,0.691855119990121,4.23349164567065,2.30090733788325e-05,0.000741879544294372
"g4851",4.39965799963807,0.476623402868335,2.4381407012532,2.92719622508003,1.11591668880344,2.6231315065453,0.00871256360095522,0.038138130128456
"g1663",7.42581996582997,0.883109089166687,4.15446452749833,2.89105441723311,0.867850560425107,3.33128138537695,0.000864471709670645,0.0110826450534062
"g718",8.78088427894517,1.0639341010013,4.92240918997323,2.88248616270234,0.728960023358906,3.95424449947256,7.67768668715851e-05,0.00201713768417164
"g747",2.91943137041356,0.285711512286316,1.60257144134994,2.8809693243597,1.00965075295643,2.85343156128367,0.00432498426492047,0.0277760100569337
"g6490",2.89582006723085,0.169542341871158,1.53268120455101,2.85748329382917,0.992635278404152,2.87868400005197,0.00399338250432386,0.0262292623579454
"g4849",4.07957607109213,0.516591723207797,2.29808389714997,2.8189226497052,0.978544878004185,2.88072904275438,0.00396756561137562,0.0262292623579454
"g4850",2.85186498717502,0.285844772200078,1.56885487968755,2.81066647215447,1.06246039755749,2.64543175314201,0.00815867428601166,0.0373281584848252
"g5780",5.55074788892691,0.577717716630113,3.06423280277851,2.81010913835266,0.932782276553257,3.01260991872224,0.0025901161625826,0.0213869591710392
"g5198",2.80237269030996,0.216104738975556,1.50923871464276,2.80683191562367,1.01385812007774,2.7684661788855,0.00563208308921437,0.0319151375055481
"g1778",2.74300719397637,0.234430064805034,1.4887186293907,2.77768438220799,1.02141879438124,2.71943731355626,0.00653930886537738,0.0341734484850602
"g4219",2.85550308271535,0.216265394190372,1.53588423845286,2.76842286050841,1.02922237096969,2.6898199442557,0.00714905804725612,0.0356220306147762
"g2976",3.61057150796689,0.487564852246044,2.04906818010647,2.76747843542295,0.960966585978656,2.87989038932558,0.00397813449710001,0.0262292623579454
"g221",3.86560175275048,0.340969414032815,2.10328558339165,2.73457785656191,0.971302140624163,2.81537303604073,0.0048720643951333,0.028735236942725
"g4170",4.95516413945015,0.816220732297121,2.88569243587364,2.73110498937394,0.875553209537546,3.11929070629125,0.00181287001993507,0.0178374050350447
"g5898",2.62688356590949,0.170402743149586,1.39864315452954,2.7031635236451,0.995535267456147,2.71528655187916,0.00662184468914661,0.0341734484850602
"g6162",3.65718859094069,0.50376889496646,2.08047874295357,2.70216726569719,0.956510877178451,2.82502513057472,0.00472769078919784,0.0284646382932953
"g1627",2.46421528010189,0.285695734364484,1.37495550723318,2.69044475971668,1.02469378074414,2.62560855767356,0.00864942229349396,0.038138130128456
"g1034",2.57716346909865,0.215754580147909,1.39645902462328,2.68444671744486,1.00838703939555,2.66211941701867,0.0077650324832636,0.0373281584848252
"g864",4.79499074228061,0.555875422885142,2.67543308258288,2.68176416003333,0.907785550124785,2.95418247147103,0.00313498581666669,0.0232310487440173
"g1810",3.62439554020206,0.543646027026791,2.08402078361443,2.65058100437312,1.03042258923909,2.57232424061126,0.0101018233723634,0.039992150063192
"g1569",3.64492075560107,0.515435022372356,2.08017788898672,2.62555052180429,1.00284020064195,2.61811455117535,0.00884171182908841,0.038138130128456
"g23",2.4352294311813,0.285838000053306,1.3605337156173,2.62127514846475,1.01663311784598,2.57838850854933,0.00992623259461338,0.039992150063192
"g222",2.62124789751647,0.233647711173852,1.42744780434516,2.62021440558269,1.01363576424815,2.58496641298584,0.00973884838538877,0.039992150063192
"g2129",7.15443886141484,0.997953473588315,4.07619616750158,2.61322470285762,0.755651291626669,3.45824156170263,0.000543713641041742,0.00872962457005907
"g2526",2.29539914616801,0.231431551930747,1.26341534904938,2.610011242528,1.04358704556578,2.50100003983182,0.0123843164477728,0.0447383431675792
"g4396",3.33983766863644,0.455599913946876,1.89771879129166,2.6071839689348,0.953459744476611,2.73444577397022,0.00624853865197422,0.0334412531559361
"g3141",2.42545771777213,0.170726100157791,1.29809190896496,2.60595705852773,1.01649132164868,2.56367860996692,0.0103569397326159,0.0404480484152161
